ano,estado,regiao,taxa_mortalidade_infantil
2010,Acre,Norte,22.2
2011,Acre,Norte,22.99
2012,Acre,Norte,21.87
2013,Acre,Norte,20.96
2014,Acre,Norte,19.31
2015,Acre,Norte,18.71
2016,Acre,Norte,17.89
2017,Acre,Norte,19.23
2018,Acre,Norte,18.0
2019,Acre,Norte,17.67
2020,Acre,Norte,15.43
2021,Acre,Norte,17.11
2022,Acre,Norte,16.19
2023,Acre,Norte,14.11
2010,Amapá,Norte,21.74
2011,Amapá,Norte,21.15
2012,Amapá,Norte,20.85
2013,Amapá,Norte,20.78
2014,Amapá,Norte,19.97
2015,Amapá,Norte,19.04
2016,Amapá,Norte,19.21
2017,Amapá,Norte,17.49
2018,Amapá,Norte,17.26
2019,Amapá,Norte,16.85
2020,Amapá,Norte,16.47
2021,Amapá,Norte,16.67
2022,Amapá,Norte,14.67
2023,Amapá,Norte,14.83
2010,Amazonas,Norte,22.72
2011,Amazonas,Norte,20.82
2012,Amazonas,Norte,21.57
2013,Amazonas,Norte,19.93
2014,Amazonas,Norte,19.09
2015,Amazonas,Norte,20.62
2016,Amazonas,Norte,20.06
2017,Amazonas,Norte,19.09
2018,Amazonas,Norte,17.29
2019,Amazonas,Norte,16.2
2020,Amazonas,Norte,17.02
2021,Amazonas,Norte,15.84
2022,Amazonas,Norte,14.49
2023,Amazonas,Norte,14.79
2010,Pará,Norte,21.38
2011,Pará,Norte,22.89
2012,Pará,Norte,20.74
2013,Pará,Norte,21.11
2014,Pará,Norte,19.68
2015,Pará,Norte,19.59
2016,Pará,Norte,19.06
2017,Pará,Norte,17.6
2018,Pará,Norte,18.89
2019,Pará,Norte,17.83
2020,Pará,Norte,17.63
2021,Pará,Norte,16.93
2022,Pará,Norte,15.63
2023,Pará,Norte,15.81
2010,Rondônia,Norte,21.51
2011,Rondônia,Norte,21.18
2012,Rondônia,Norte,20.22
2013,Rondônia,Norte,20.3
2014,Rondônia,Norte,19.86
2015,Rondônia,Norte,18.99
2016,Rondônia,Norte,19.74
2017,Rondônia,Norte,18.01
2018,Rondônia,Norte,17.24
2019,Rondônia,Norte,17.27
2020,Rondônia,Norte,15.72
2021,Rondônia,Norte,16.71
2022,Rondônia,Norte,14.37
2023,Rondônia,Norte,15.97
2010,Roraima,Norte,23.15
2011,Roraima,Norte,21.18
2012,Roraima,Norte,20.13
2013,Roraima,Norte,21.48
2014,Roraima,Norte,20.63
2015,Roraima,Norte,20.09
2016,Roraima,Norte,19.6
2017,Roraima,Norte,17.33
2018,Roraima,Norte,17.42
2019,Roraima,Norte,16.25
2020,Roraima,Norte,17.45
2021,Roraima,Norte,16.28
2022,Roraima,Norte,14.99
2023,Roraima,Norte,13.75
2010,Tocantins,Norte,22.05
2011,Tocantins,Norte,21.49
2012,Tocantins,Norte,21.87
2013,Tocantins,Norte,21.05
2014,Tocantins,Norte,21.06
2015,Tocantins,Norte,19.47
2016,Tocantins,Norte,18.03
2017,Tocantins,Norte,18.87
2018,Tocantins,Norte,18.39
2019,Tocantins,Norte,17.32
2020,Tocantins,Norte,17.23
2021,Tocantins,Norte,15.97
2022,Tocantins,Norte,15.45
2023,Tocantins,Norte,14.63
2010,Alagoas,Nordeste,25.16
2011,Alagoas,Nordeste,24.51
2012,Alagoas,Nordeste,23.47
2013,Alagoas,Nordeste,24.07
2014,Alagoas,Nordeste,22.44
2015,Alagoas,Nordeste,22.05
2016,Alagoas,Nordeste,22.16
2017,Alagoas,Nordeste,19.72
2018,Alagoas,Nordeste,19.25
2019,Alagoas,Nordeste,19.23
2020,Alagoas,Nordeste,17.11
2021,Alagoas,Nordeste,15.89
2022,Alagoas,Nordeste,15.55
2023,Alagoas,Nordeste,14.39
2010,Bahia,Nordeste,27.33
2011,Bahia,Nordeste,26.19
2012,Bahia,Nordeste,24.91
2013,Bahia,Nordeste,24.63
2014,Bahia,Nordeste,23.61
2015,Bahia,Nordeste,21.28
2016,Bahia,Nordeste,22.12
2017,Bahia,Nordeste,20.42
2018,Bahia,Nordeste,20.21
2019,Bahia,Nordeste,19.57
2020,Bahia,Nordeste,17.32
2021,Bahia,Nordeste,15.97
2022,Bahia,Nordeste,15.4
2023,Bahia,Nordeste,15.03
2010,Ceará,Nordeste,27.06
2011,Ceará,Nordeste,26.31
2012,Ceará,Nordeste,23.41
2013,Ceará,Nordeste,23.76
2014,Ceará,Nordeste,22.69
2015,Ceará,Nordeste,21.36
2016,Ceará,Nordeste,20.26
2017,Ceará,Nordeste,19.93
2018,Ceará,Nordeste,20.53
2019,Ceará,Nordeste,18.19
2020,Ceará,Nordeste,17.81
2021,Ceará,Nordeste,17.39
2022,Ceará,Nordeste,15.73
2023,Ceará,Nordeste,16.33
2010,Maranhão,Nordeste,27.41
2011,Maranhão,Nordeste,24.85
2012,Maranhão,Nordeste,24.59
2013,Maranhão,Nordeste,23.26
2014,Maranhão,Nordeste,22.37
2015,Maranhão,Nordeste,20.92
2016,Maranhão,Nordeste,21.44
2017,Maranhão,Nordeste,20.33
2018,Maranhão,Nordeste,18.39
2019,Maranhão,Nordeste,18.08
2020,Maranhão,Nordeste,18.74
2021,Maranhão,Nordeste,16.28
2022,Maranhão,Nordeste,15.2
2023,Maranhão,Nordeste,15.17
2010,Paraíba,Nordeste,27.47
2011,Paraíba,Nordeste,24.83
2012,Paraíba,Nordeste,25.01
2013,Paraíba,Nordeste,24.37
2014,Paraíba,Nordeste,22.25
2015,Paraíba,Nordeste,22.58
2016,Paraíba,Nordeste,20.86
2017,Paraíba,Nordeste,20.64
2018,Paraíba,Nordeste,19.79
2019,Paraíba,Nordeste,18.7
2020,Paraíba,Nordeste,16.78
2021,Paraíba,Nordeste,17.71
2022,Paraíba,Nordeste,15.62
2023,Paraíba,Nordeste,14.45
2010,Pernambuco,Nordeste,25.2
2011,Pernambuco,Nordeste,25.66
2012,Pernambuco,Nordeste,25.02
2013,Pernambuco,Nordeste,22.58
2014,Pernambuco,Nordeste,22.91
2015,Pernambuco,Nordeste,21.37
2016,Pernambuco,Nordeste,21.53
2017,Pernambuco,Nordeste,19.54
2018,Pernambuco,Nordeste,19.93
2019,Pernambuco,Nordeste,18.34
2020,Pernambuco,Nordeste,18.81
2021,Pernambuco,Nordeste,16.04
2022,Pernambuco,Nordeste,15.67
2023,Pernambuco,Nordeste,14.27
2010,Piauí,Nordeste,27.32
2011,Piauí,Nordeste,26.35
2012,Piauí,Nordeste,24.01
2013,Piauí,Nordeste,24.12
2014,Piauí,Nordeste,23.65
2015,Piauí,Nordeste,22.16
2016,Piauí,Nordeste,21.25
2017,Piauí,Nordeste,19.7
2018,Piauí,Nordeste,18.49
2019,Piauí,Nordeste,19.57
2020,Piauí,Nordeste,18.72
2021,Piauí,Nordeste,17.23
2022,Piauí,Nordeste,15.67
2023,Piauí,Nordeste,14.84
2010,Rio Grande do Norte,Nordeste,26.84
